Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Cypress,Cypress,regions_unexplored,"18, 19, 20",wood,3.5,1.7,6,131,1,4,90,1,2.5,737143,"crude, wooden",cypress_planks,,,axe 1
Socotra,Socotra,regions_unexplored,"18, 19, 20",wood,3,1.7,6,131,1,4,90,1,2,9d7243,"crude, wooden",socotra_planks,,,axe 1
Kapok,Kapok,regions_unexplored,"19, 20",wood,3.2,1.4,5,131,1,5,108,1,3,9c7559,"crude, wooden",kapok_planks,,,axe 1
Redwood,Redwood,regions_unexplored,"18, 19, 20",wood,3.2,1.4,5,131,1,5,108,1,3,8f402b,"crude, wooden",redwood_planks,,,axe 1
Coconut,Coconut,ecologics,"18, 19, 20",wood,2.1,1.4,6,131,1,4,108,1,3,c5ac5b,"crude, wooden",coconut_planks,,,axe 1
Redstone,Redstone,ms,"16; 18, 19, 20",stone,4.5,3.5,0,127,1,1,72,4,6.5,d10000,"shiny, crude","gem/redstoneingot, gem/redstone_ingot",,,hammer 3
Silver,Silver,ms,"16; 18, 19, 20",metal,4.9,4.2,1,121,2,1,60,4,8.9,b9c8cc,"shiny, metal, default","gem/silveringot, gem/silver_ingot",eff stabilizing 30 0,,hammer 2
Aquiris Ember Rod,Aquiris Ember,ms,"16; 18, 19, 20",rod,5,0.4,1,111,2,6,102,0,0,517f7d,"crude, default","???, aquiris_ember_rod",,,hammer 2
Cherry,Cherry,blue_skies,"16, 18, 19",wood,3.5,1.4,6,100,1,7,90,3,3,91424f,"crude, wooden",cherry_planks,,,axe 2
Comet,Comet,blue_skies,20,wood,3.5,1.4,6,100,1,7,90,3,3,91424f,"crude, wooden",comet_planks,,,axe 2
Limestone,Limestone,alexscaves,20,stone,4.2,3.5,0,96,1,4,90,2,4,9f916d,"grainy, crude, default",limestone,,,hammer 1
Limestone,Limestone,ms,"16; 18, 19, 20",stone,4.2,3.5,0,96,1,4,90,3,4,abae9f,"grainy, crude, default","limecobble, stone/limestone",,,hammer 1
Chalk,Chalk,regions_unexplored,"18, 19, 20",stone,3.6,3.5,0,96,1,4,90,3,4,d1d1d1,"grainy, crude, default",chalk,,,hammer 1
Cherry,Cherry,ms,16,wood,3.5,2,6.5,96,1,5,72,3,4,7b3a27,"crude, wooden",cherryplank,,,axe 2
Cherry,Cherry,ms,"18, 19, 20",wood,3.5,2,6.5,96,1,5,72,3,4,7b3a27,"crude, wooden",cherry_planks,,,axe 2
Silverbell,Silverbell,ms,"16; 18, 19, 20",wood,3,1.5,6,96,1,4,90,1,2,c5bea2,"crude, wooden","silverbellplank, silverbell_planks",eff stabilizing 10 0,,axe 3
Netherwood,Netherwood,silentgear,"16, 18, 19, 20",wood,3,1.7,6,72,1,4,78,1,2,7d272d,"crude, wooden",netherwood_planks,,,axe 1
Blaze Gold,Blaze Gold,silentgear,"16, 18, 19, 20",metal,5,4.2,1,69,2,4,144,4,15,e3a645,"shiny, metal, default",blaze_gold_ingot,,imp workable 1 0,hammer 3
Alpha Oak,Alpha Oak,regions_unexplored,"18, 19, 20",wood,3,1.7,6,59,1,4,102,1,2,997e4c,"crude, wooden",alpha_planks,,,axe 3
Eucalyptus,Eucalyptus,regions_unexplored,"18, 19, 20",wood,3,1.7,6.5,59,1,4,90,1,2,aa6a4c,"crude, wooden",eucalyptus_planks,,,axe 1
Magnolia,Magnolia,regions_unexplored,"19, 20",wood,3,1.7,6.5,59,1,4,90,1,2,a6393f,"crude, wooden",magnolia_planks,,,axe 1
Bluebright,Bluebright,blue_skies,"16, 18, 19, 20",wood,3,1.7,6,59,1,4,60,1,2,324273,"crude, wooden",bluebright_planks,,,axe 1
Dusk,Dusk,blue_skies,"16, 18, 19, 20",wood,3,1.7,6,59,1,4,60,1,2,492a61,"crude, wooden",dusk_planks,,,axe 1
Frostbright,Frostbright,blue_skies,"16, 18, 19, 20",wood,3,1.7,6,59,1,4,60,1,2,5d4339,"crude, wooden",frostbright_planks,,,axe 1
Lunar Wood,Lunar,blue_skies,"16, 18, 19, 20",wood,3,1.7,6,59,1,4,60,1,2,6a327e,"crude, wooden",lunar_planks,,,axe 1
Maple,Maple,blue_skies,"16, 18, 19, 20",wood,3,1.7,6,59,1,4,60,1,2,723a2d,"crude, wooden",maple_planks,,,axe 1
Starlit Wood,Starlit,blue_skies,"16, 18, 19, 20",wood,3,1.7,6,59,1,4,60,1,2,647f84,"crude, wooden",starlit_planks,,,axe 1
Glowood,Glowood,ms,16,wood,3,1.5,6.5,59,1,4,90,1,2,dadae2,"crude, wooden",glowood,,,axe 1
Glowood,Glowood,ms,"18, 19, 20",wood,3,1.5,6.5,59,1,4,90,1,2,dadae2,"crude, wooden",glowood_planks,,,axe 1
Joshua,Joshua,regions_unexplored,"18, 19, 20",wood,2.2,1.4,6,59,1,3,108,1,3,9f8367,"crude, wooden",joshua_planks,,,axe 1
Palm,Palm,regions_unexplored,"18, 19, 20",wood,2.2,1.4,6,59,1,3,108,1,3,dbc48e,"crude, wooden",palm_planks,,,axe 1
Aeronos,Aeronos,ad_astra,"18, 19, 20",wood,2.8,1.1,7.5,59,1,4,102,3,4,55536f,"crude, wooden",aeronos_planks,,,axe 4
Silver,Silver,epicsamurai,"18, 19, 20",metal,4,4.2,1,50,2,1,126,2,11,c5d7e5,"shiny, metal, default",silver_ingot,,,hammer 1
Silver,Silver,galosphere,"18, 19, 20",metal,4,4.2,1,50,2,1,126,2,11,9bb0af,"shiny, metal",silver_ingot,,,hammer 1
Blue Bioshroom,Blue Bioshroom,regions_unexplored,"19, 20",wood,2.8,1.5,5.5,48,1,5,114,1,2,cacc4,"crude, wooden",blue_bioshroom_planks,,,axe 3
Pink Bioshroom,Pink Bioshroom,regions_unexplored,"19, 20",wood,2.8,1.5,5.5,48,1,5,114,1,2,ce6ac6,"crude, wooden",pink_bioshroom_planks,,,axe 3
Yellow Bioshroom,Yellow Bioshroom,regions_unexplored,"19, 20",wood,2.8,1.5,5.5,48,1,5,114,1,2,d1bb60,"crude, wooden",yellow_bioshroom_planks,,,axe 3
Green Bioshroom,Green Bioshroom,regions_unexplored,"19, 20",wood,2.8,1.5,5.5,48,1,4,114,1,2,77d35f,"crude, wooden",green_bioshroom_planks,,,axe 3
Fir,Fir,nature_arise,20,wood,2.6,1.5,6,48,1,3,108,1,3,957339,"crude, wooden",fir_planks,,,axe 1
Larch,Larch,regions_unexplored,"18, 19, 20",wood,2.6,1.5,6,48,1,3,108,1,3,aa917c,"crude, wooden",larch_planks,,,axe 1
Pine,Pine,regions_unexplored,"18, 19, 20",wood,2.6,1.5,6,48,1,3,108,1,3,cca471,"crude, wooden",pine_planks,,,axe 1
Pewen,Pewen,alexscaves,20,wood,2.1,1.4,6,48,1,2,108,1,3,ab7e38,"crude, wooden",pewen_planks,,,axe 1
Bamboo,Bamboo,ms,16,wood,2.2,1.4,7.2,48,2,2,90,1,3,a58e2a,"crude, wooden",bamboo_plank,,,axe 1
Bamboo,Bamboo,ms,"18, 19",wood,2.2,1.4,7.2,48,2,2,90,1,3,a58e2a,"crude, wooden",bamboo_planks,,,axe 1
Willow,Willow,ms,"16; 18, 19, 20",wood,2,1.2,7,48,1,2,108,1,3,c69b5b,"crude, wooden","willowplank, willow_planks",,,axe 1
Willow,Willow,regions_unexplored,"18, 19, 20",wood,2,1.2,7,48,1,2,108,1,3,b6ac91,"crude, wooden",willow_planks,,,axe 1
Moonstone,Moonstone,blue_skies,"16, 18, 19, 20",gem,4.5,2.7,0,250,1,2,120,3,6,c4e3f1,"shiny, crude, default",moonstone_shard,eff stabilizing 15 0,,hammer 2
